camera[+3][p]##it is versatile and seems to be one of the best .,p
"g3[+1]##i chose the g3 because of its reputation for very high quality , clean images .",p
"lag time[-2],flash[-2]##the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash .",n
depth[+1]##what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 .,p
"flash[-2]##relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots .",n
"external flash hot shoe[+1]##fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 .",p
"flash[+2]##contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon .",p
"software[-2]##now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 !",n
"software[-2]##the canon software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image-affecting settings in the camera .",n
g3[+3]##what this plug-in reveals is the truly stunning quality of the raw g3 hardware .,p
"color[+3]##without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image !",p 
"g3[+3],software[-2]##the adobe camera raw plug-in shows once again that hardware is miles ahead of software .",p
software[-2]##what the g3 raw image software gives you is a fantasy world designed to please the uncritical .,n
image[+3]##but at least youre starting with the most photorealistic images ive ever seen from a camera .,p
"raw image[+3]##i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits .",p
"camera[+2][p]##i 've had this for 3 months now , and i am pleased with my decision .",p
camera[+3]##this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well .,p
"battery life[+1]##battery life , the drawback to most digital cameras , to quote k. reeves .",p
"manual function[+2],picture quality[+3]##manual functionality is excellent , downloading pictures is quick and a breeze , and the quality is astounding .",p
"viewfinder[-1],lcd[+2],camera[+3]##not perfect ( yes , the viewfinder can get obstructed in instances.but the lcd works well enough in those instances ) , not the cheapest 4.0 mp , but the best 4.0 mp .",p
service[+3]##the service from the supplier was exceptional .,p
"photo[+3]##having used it for more than a month , i can say that it consistently produces topnotch photos .",p
"photo[+3]##by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced .",p
"automode[+2],manual mode[+2]##the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture priority , shutter priority , and manual modes .",p
viewfinder[-2]##about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder .,n
camera[+3]##i can 't write enough positive things about this great little camera !,p
canon[+3]##but canon never fails to amaze .,p
raw format[+2]##1 . the ability to selectively switch to raw format during record review gives you incredible more post-processing flexibility .,p
"battery life[+1]##2 . battery life is over 4.5 hours , compared to about 2.5 hours for the g2 or the 2 hours for most nikons .",p
software[+2]##3 . the remote capture and fileviewer software bundled for photo capture is mind-blowing .,p
"shape[+1]##4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking .",p
light auto correction[+2]##the light auto-correction is awesome .,p
picture[+2]##you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right .,p
"white offset[+2]##8 . perhaps inspired by the canon 's factory white-correction settings ( which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out ) , the g3 has much sharper white offsets .",p
"g3[+3]##overall , the g3 delivers what must be considered the best image quality of any current > 4 megapixel digicams , from a detail , tonal balance and color response point of view .",p
camera[+3][p]##this is quite simply the best you can ask for .,p
low light focus[-2]##the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds .,n
picture[-3]##got way too many blurry pictures .,n
"photo[+3], use[+3], software[+2]##4mp , 4x optical zoom , takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras , easy to understand and use ( has a great swivel lcd screen ) , a lot of features and add-on options , comes with great software ( not to be overlooked ) , and last but by far not least , received my fiance 's stamp of approval ( two thumbs up ! )",p
camera[+2]##the powershot g3 is a great camera .,p
photo[+3]##because it can help a so-so photographer take spectacular photos !,p
"camera[+2]##4 megapixels is plenty for all but pros , and you will not be disappointed with the results of this camera .",p
feature[+1]##it 's slightly lighter than the g2 and packed with even more features .,p
"unresponsiveness[-2]##the catch with the canon g3 camera , ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots .",n
delay[-1][u]##it sometimes takes the picture at some indefinite period of time after you press the shutter button .,n
delay[-2][u]##canon 's g3 does it consistently .,n
"focus[-2], shoot[-2]##it feels slow to focus , and unbearably slow to shoot .",n
"g3[-2]##unfortunately , this digital moment-capturing device called the g3 sometimes captures the moment after the one you wanted .",n
camera[+3]##this is my first digital camera and i could n't be happier .,p
picture quality[+2]##i love the quality of the pictures .,p
picture quality[+2][p]##they look fantastic .,p
4mp camera[+2]##the canon g3 is perhaps the best 4mp camera out there .,p
"picture[+2]##with canon , you get pictures that appear to be photos , not still camcorder shots .",p
"control[+2],menu[+2]##i love the eos based controls and easy menus .",p
lens cap[-2]##1 ) the included lens cap is very loose on the camera .,n
"body[-2]##2 ) the body construction - buttons , casing , etc , are too plastic .",n
casing[-2]##it had a heavier and more sturdy casing .,n
"performance[+3][p]##i bought it for my trip to beunos aires , and also used it at the iguazu falls , and could not have asked for more perfect performance !",p
"camera[+3]##this camera is worth every penny , and i highly recommend it !",p
battery life[+3]##another point of note : the battery life is incredible !,p
camera[+2]##am i ever glad that i decided on this camera !,p
"camera[+2]##i 've only had it a week , but so far , everything about this camera is making me happy .",p
menu[+2]##very intuitive menus are a big plus on this camera .,p
battery[+2]##the standard battery include with the g3 is a camcorder battery that will allow me to take pictures all day without worrying about charging .,p
"optical zoom[+3],viewfinder[+1]##the optical zoom is awesome , and the viewfinder reflects the settings of the zoom .",p
"viewfinder[-2]##one little minor flaw with this camera is that the lens is visible in the viewfinder , but does not detract from the image at all .",n
camera[+3]##the best 4 megapixel/4x optical zoom camera available and fairly easy to use .,p
camera[+3]##because this camera is beautiful .,p
look[+3]##the g3 looks like a work of art !,p
"finish[+3]##its silver magnesium finish is stunning , and the sharp lines and excellent grip are better than any other camera i 've seen .",p
camera[+2][p]##i am very pleased with it so far .,p
viewfinder[-2]##you can see the lens barrel in the view-finder .,n
"tiff format[-2]##( i knew this before hand , and it is not that bad ) there is no tiff format .",n
lag[-2]##it seems to me that after the focus and metering are complete there is quite a lag before the shutter ?,n
import[+2]##it is very simple to import via iphoto 2 and then move them to photoshop .,p
camera[+2]##i am quite happy with the camera .,p
manual[+2]##it comes with a clearly written manual and the learning curve is not too too steep .,p
"camera[+2][p]##yes , i recommend it over the competition .",p
"camera[+3]##best camera ever . from the image quality , color , function , i can say almost everything .",p
"stitch picture[+2]##this camera has a cool stitch pictures feature , to find out more just log on to canon 's website .",p
"picture[+2]##first and foremost , it will take better pic 's than most film camera 's .",p
camera[+2]##this camera has none of these flaws and will be something you 'll use all the time .,p
"camera[+3]##however , for a $ 600 - $ 800 budget , i think this camera is an excellent choice .",p
"design[+2], feature[+2],use[+1][u],battery[+2]##it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !",p
"display[+2]##also , the display is "" hinged "" and it can be placed in a myriad of positions , or to protect it against any damage .",p
"compactflash[-2]##one bad thing is that it comes with a pitiful 32mb compactflash card , and for most purposes , it is not enough .",n
noise[+2]##another good thing is that this camera seems to introduce much less noise in dark places than others i 've seen .,p
camera[+2]##i have owned this camera for a short time and would n't give it up for anything .,p
camera[+2]##it surpasses my greatest expectations in a 4mp camera ..,p
"use[+1][u],design[+1][u]##in general it is easy to use and well laid out .",p
"use[+3],control[+2]##it makes up for this by being extremely easy to use with well laid out controls that can be learned quickly .",p
feature[+2]##the g3 has most if not all of the features that you would want from a semi-pro / pro slr with a good range of manual options for those who know something about photography .,p
"auto mode[+1]##in the hands of someone who does n't , it will yield good results on idiot program / auto mode .",p
memory card[-2]##the included memory card is too small .,n
made[-2]##it is made of plastic .,n
lens[-1]##the zoom lens unit feels fragile and it is worth buying a good camera bag if you are going put to carry it round a lot .,n
"size[-1][u]##while light , it will not easily go in small handbags or pockets .",n
lever[-1]##the function lever - the one which switches between capture and view mode feels fragile .,n
"flash[-1]##flash - as with all built-in flashes in small cameras , you get overilluminated main subjects with depth being lost .",n
strap[-2]##the strap is horrible and gets in the way of parts of the camera you need access to .,n
camera[+2]##the functionality on this camera is mind-blowing .,p
"option[+1}, control[+1]##canon have packed a lot in here and the options and controls are easy to use and logically laid out .",p
learning[+1]##learning how to use it will not take very long .,p
image quality[+3]##the image quality is excellent .,p
function[+1]##range of functions - as indicated above - it has something for everyone : point and shoot power plus advanced functions for those who are serious about photography .,p
camera[+2]##this is by far the finest camera in its price and category i have ever used .,p
"macro[+2], auto mode[+2]##the macro works great for medical photographs and the auto mode is terrific for point and shoot .",p
camera[+2]##this camera is closest to perfect than any other digicam that is 4-5 megapixel .,p
4mp resolution[+1]##i 'm glad canon decided to keep the 4mp resolution and improved upon it with new technology ;,p
"distortion[-1][u]##yes there is a corner lens barrel distortion ( i do n't like it too but no harm done since i always use the camea lcd screen to see exactly what i 'm going to get ) in the viewfinder when you do n't zoom ( when you zoom the lens distortion goes away ) , canon knows this and engineered it that way to minimize the parallax phenomenon ; that is what lmost exactly ot the picture .",n
"shot[+2]##in terms of the shots taken , this camera is insanely great !",p
"picture[+3],learning curve[+1]##the pictures are fabulous and their is a ( short ) learning curve to it ; there are tons of features i have n't even gotten to .",p
"picture quality[+2]##i 've been pleased with the picture quality and durability in snow , car , boat and wind .",p
camera[+2]##the camera 's a work of art / science -- that 's understood .,p
"picture[+2],feel[+1][u]##it takes great pictures , operates quickly , and feels solid .",p
"viewfinder[-2]##to address two previous somewhat negative reviews : ( 1 ) yes , the lens barrel does obstruct part of the lower left corner in the lens viewfinder ; however , the lcd viewfinder is rather stunning and i find myself rarely using the lens viewfinder .",n
design[-3]##this camera has a major design flaw .,n
viewfinder[-2]##when you look through the viewfinder ( not the lcd ) the bottom left corner of the picture ( about 15 % ) is blocked by the lens .,n
camera[+2]##everything else about the camera is great .,p
"camera[+2]##if you strictly use the lcd and not the view finder , i highly recommend the camera .",p
"camera[+3][u]##and so far , i 've been very pleased .",p
"lens[+2],optical zoom[+1]##the larger lens of the g3 gives better picture quality in low light , and the 4-times optical zooms gets you just that much closer .",p
lcd[+2]##the moveable lcd screen is great .,p
"remote[+2]##the tiny ( postage-stamp sized ) remote unit is wonderful : not only does it trigger the shutter , it can also be used to zoom and review pictures .",p
hot shoe flash[+1]##the hot shoe flash attachment allowed me to buy and use a sophisticated flash unit :,p
"battery[+2]##i needed three batteries to keep myself going with the s330 , but the battery in the g3 is a real powerhouse :",p
"battery charging system[+1]##the g3 has a different type of battery charging system from the smaller canon cameras : the battery needs to be charged while in the camera , but the charging system also enables you to use the camera while plugged in without running down the battery .",p
"manual[+1]##i have yet to try using all of the adjustment options : shutter priority , aperature priority , light metering adjustments , etc. , but all controls are well thought out and and the manual is relatively clear .",p
"highlight[-1]##i 've been bothered by blown-out highlights on the s330 , and the g3 seems to do only slightly better .",n
"no-off button[-2]##the on-off button feels somewhat flimsy , and has an awkward , tiny little lock-out button that needs to be depressed to turn on the camera .",n
"body[-2]##and the body / construction in general has quite a bit of plastic , a disappointment after the stainless steel heft of the s330 .",n
"download[+1]##i was worried that 4 megapixel photos would download more slowly , but there 's no difference in working with the files .",p
camera[+3]##i 've now had the camera for two months and i 'm even more pleased with it .,p
"camera[+3],use[+1],photo[+3]##very comfortable camera , easy to use , and the best digital photos you 're going to get at this price .",p
g3[+2]##i 've been using the g3 for about six weeks and it has proven itself to be all that it 's advertised .,p
"camera[+3]##all-in-all , i believe this is arguably the best non-slr digital camera on the market .",p
optic[+2]##canon 's optics are better and i believe their processing algorithms are also better .,p
"digital camera[+3]##simply , the canon g3 is the best digital camera out there today at this price point .",p
battery life[+2]##the battery life of this camera is twice that of the nikon 5000 and is better than anything else i 've seen .,p
"look[-2]##the only minor nits i have with the camera are it is fairly boxy looking , it needs a wrist strap instead of a neck strap , and it is a bit slow between shots .",n
"camera[+3]##even with these shortcomings , i still think it is the best digital camera available under $ 1200 .",p
camera[+3]##definetely a great camera .,p
"quality[+2],lens[+2]##proven canon built quality and lens .",p
feel[+2]##feels solid in hand .,p
"weight[-1],camera[+2]##rather heavy for point and shoot but a great camera for semi pros .",n
